X(mm)	Measured heigth (nm)	Residual Heigth (nm)	Slope (micror-rad)	Residual slope (microrad)
130.56	6.40	-4.79	0.509804	0.276479
131.58	6.72	-4.64	0.323529	0.0888306
132.60	7.06	-4.47	0.431373	0.1953
133.62	7.60	-4.09	0.519608	0.282161
134.64	8.12	-3.74	0.446078	0.207257
135.66	8.51	-3.53	0.382353	0.142157
136.68	8.90	-3.31	0.303922	0.0623516
137.70	9.13	-3.24	0.147059	-0.0958854
138.72	9.20	-3.35	0.181373	-0.0629459
139.74	9.50	-3.23	0.308824	0.0631309
140.76	9.83	-3.07	0.254902	0.00783507
141.78	10.02	-3.06	0.220588	-0.0278529
142.80	10.28	-2.98	0.269608	0.0197925
143.82	10.57	-2.86	0.27451	0.0233202
144.84	10.84	-2.78	0.343137	0.0905734
145.86	11.27	-2.52	0.392157	0.138219
146.88	11.64	-2.34	0.29902	0.0437073
147.90	11.88	-2.29	0.303922	0.047235
148.92	12.26	-2.08	0.416667	0.158606
149.94	12.73	-1.80	0.441176	0.181741
150.96	13.16	-1.56	0.362745	0.101936
151.98	13.47	-1.44	0.196078	-0.066105
153.00	13.56	-1.54	0.117647	-0.145911
154.02	13.71	-1.58	0.279412	0.0144798
155.04	14.13	-1.36	0.490196	0.22389
156.06	14.71	-0.97	0.436275	0.168594
157.08	15.02	-0.85	0.156863	-0.112192
158.10	15.03	-1.04	0.0343137	-0.236115
159.12	15.09	-1.18	0.102941	-0.168862
160.14	15.24	-1.22	0.161765	-0.111413
161.16	15.42	-1.24	0.181373	-0.093179
162.18	15.61	-1.25	0.181373	-0.0945533
163.20	15.79	-1.27	0.181373	-0.0959275
164.22	15.98	-1.29	0.196078	-0.0825959
165.24	16.19	-1.28	0.240196	-0.0398524
166.26	16.47	-1.20	0.348039	0.0666165
167.28	16.90	-0.98	0.411765	0.128968
168.30	17.31	-0.77	0.25	-0.0341712
169.32	17.41	-0.88	0.0490196	-0.236526
170.34	17.41	-1.10	0.0931373	-0.193782
171.36	17.60	-1.11	0.240196	-0.0480979
172.38	17.90	-1.03	0.338235	0.0485671
173.40	18.29	-0.85	0.421569	0.130526
174.42	18.76	-0.60	0.397059	0.104642
175.44	19.10	-0.47	0.328431	0.0346405
176.46	19.43	-0.35	0.377451	0.0822859
177.48	19.87	-0.13	0.372549	0.0760097
178.50	20.19	-0.03	0.240196	-0.0577175
179.52	20.36	-0.08	0.215686	-0.0836015
180.54	20.63	-0.03	0.343137	0.0424752
181.56	21.06	0.17	0.362745	0.0607088
182.58	21.37	0.26	0.279412	-0.0239987
183.60	21.63	0.30	0.362745	0.0579604
184.62	22.11	0.55	0.509804	0.203645
185.64	22.67	0.89	0.534314	0.226781
186.66	23.20	1.19	0.519608	0.2107
187.68	23.73	1.49	0.480392	0.17011
188.70	24.18	1.71	0.460784	0.149128
189.72	24.67	1.96	0.495098	0.182068
190.74	25.19	2.25	0.519608	0.205203
191.76	25.73	2.56	0.568627	0.252849
192.78	26.35	2.95	0.54902	0.231867
193.80	26.85	3.21	0.465686	0.147159
194.82	27.30	3.42	0.485294	0.165393
195.84	27.84	3.72	0.529412	0.208136
196.86	28.38	4.02	0.558824	0.236174
197.88	28.98	4.38	0.519608	0.195584
198.90	29.44	4.60	0.45098	0.125582
199.92	29.90	4.82	0.485294	0.158522
200.94	30.43	5.10	0.426471	0.0983239
201.96	30.77	5.19	0.303922	-0.0255994
202.98	31.05	5.23	0.372549	0.0416538
204.00	31.53	5.46	0.446078	0.113809
205.02	31.96	5.64	0.333333	-0.000310344
206.04	32.21	5.64	0.22549	-0.109528
207.06	32.42	5.60	0.205882	-0.13051
208.08	32.63	5.56	0.132353	-0.205413
209.10	32.69	5.37	-0.00490196	-0.344043
210.12	32.62	5.04	-0.0784314	-0.418946
211.14	32.53	4.69	-0.0539216	-0.395811
212.16	32.51	4.42	0.0147059	-0.328557
213.18	32.56	4.21	0.107843	-0.236794
214.20	32.73	4.12	0.284314	-0.0616981
215.22	33.14	4.27	0.519608	0.172222
216.24	33.79	4.66	0.691176	0.342416
217.26	34.55	5.15	0.784314	0.434179
218.28	35.39	5.73	0.985294	0.633785
219.30	36.56	6.64	1.27451	0.921627
220.32	37.99	7.80	1.42157	1.06731
221.34	39.46	9.00	1.47059	1.11496
222.36	40.99	10.26	1.52941	1.17241
223.38	42.58	11.58	1.47059	1.11221
224.40	43.99	12.72	1.38235	1.0226
