Dim : 460 X 50 X 50 mm
Scan lenght : 429.5 mm
x(mm)	Slope (urad)
320.5	2206.71933
320.75	2212.51878
321	2218.31429
321.25	2224.12384
321.5	2229.93567
321.75	2235.73597
322	2241.5325
322.25	2247.33408
322.5	2253.13223
322.75	2258.91287
323	2264.65679
323.25	2270.36244
323.5	2276.10397
323.75	2281.94075
324	2287.79748
324.25	2293.58663
324.5	2299.30669
324.75	2304.98231
325	2310.65682
325.25	2316.37078
325.5	2322.13485
325.75	2327.94346
326	2333.75612
326.25	2339.53814
326.5	2345.31292
326.75	2351.11181
327	2356.93978
327.25	2362.78818
327.5	2368.62041
327.75	2374.40257
328	2380.13984
328.25	2385.85664
328.5	2391.61551
328.75	2397.46195
329	2403.33537
329.25	2409.16431
329.5	2414.94006
329.75	2420.67412
330	2426.3962
330.25	2432.13882
330.5	2437.92752
330.75	2443.77137
331	2449.62077
331.25	2455.42444
331.5	2461.18327
331.75	2466.9093
332	2472.607
332.25	2478.28758
332.5	2483.99662
332.75	2489.77228
333	2495.58866
333.25	2501.41397
333.5	2507.25704
333.75	2513.12458
334	2518.97431
334.25	2524.77
334.5	2530.5488
334.75	2536.34304
335	2542.09241
335.25	2547.74936
335.5	2553.41003
335.75	2559.17051
336	2564.98307
336.25	2570.77682
336.5	2576.53212
336.75	2582.25687
337	2588.01779
337.25	2593.86841
337.5	2599.75044
337.75	2605.59672
338	2611.41628
338.25	2617.22873
338.5	2623.01969
338.75	2628.77741
339	2634.53488
339.25	2640.32802
339.5	2646.15999
339.75	2652.02017
340	2657.87562
340.25	2663.69289
340.5	2669.45875
340.75	2675.17562
341	2680.88829
341.25	2686.6366
341.5	2692.39813
341.75	2698.14494
342	2703.88926
342.25	2709.65357
342.5	2715.46114
342.75	2721.31987
343	2727.1752
343.25	2732.97567
343.5	2738.74462
343.75	2744.51186
344	2750.25838
344.25	2755.96969
344.5	2761.69831
344.75	2767.49268
345	2773.31774
345.25	2779.12314
345.5	2784.88062
345.75	2790.58023
346	2796.26308
346.25	2801.97483
346.5	2807.72847
346.75	2813.52833
347	2819.37672
347.25	2825.2636
347.5	2831.13141
347.75	2836.93409
348	2842.71907
348.25	2848.53488
348.5	2854.34091
348.75	2860.09221
349	2865.81551
349.25	2871.54356
349.5	2877.26142
349.75	2882.95428
350	2888.65549
350.25	2894.39856
350.5	2900.16935
350.75	2905.94685
351	2911.73029
351.25	2917.52108
351.5	2923.30926
351.75	2929.08316
352	2934.83556
352.25	2940.57051
352.5	2946.33265
352.75	2952.15041
353	2957.94696
353.25	2963.65948
353.5	2969.38635
353.75	2975.22504
354	2981.10809
354.25	2986.9534
354.5	2992.78502
354.75	2998.63521
355	3004.46292
355.25	3010.22604
355.5	3015.95153
355.75	3021.67164
356	3027.37076
356.25	3033.03946
356.5	3038.74109
356.75	3044.5315
357	3050.36399
357.25	3056.17842
357.5	3061.96347
357.75	3067.7288
358	3073.51921
358.25	3079.36447
358.5	3085.19923
358.75	3090.96355
359	3096.71425
359.25	3102.50923
359.5	3108.29383
359.75	3114.01392
360	3119.73027
360.25	3125.50832
360.5	3131.31741
360.75	3137.11163
361	3142.88009
361.25	3148.62422
361.5	3154.35972
361.75	3160.10542
362	3165.87836
362.25	3171.68282
362.5	3177.47369
362.75	3183.21149
