X(mm)	Measured heigth (nm)	Residual Heigth (nm)	Slope (micror-rad)	Residual slope (microrad)
116.28	-2.41	-0.80	0.166667	0.0278535
117.30	-2.21	-0.74	0.176471	0.0367846
118.32	-2.05	-0.71	0.171569	0.0310099
119.34	-1.86	-0.66	0.220588	0.0791567
120.36	-1.60	-0.53	0.181373	0.0390683
121.38	-1.49	-0.56	0.0931373	-0.0500398
122.40	-1.41	-0.62	0.00980392	-0.134246
123.42	-1.47	-0.82	-0.127451	-0.272374
124.44	-1.67	-1.16	-0.0980392	-0.243835
125.46	-1.67	-1.31	-0.00980392	-0.156472
126.48	-1.69	-1.47	0.0686275	-0.0789135
127.50	-1.53	-1.46	0.196078	0.0476647
128.52	-1.29	-1.36	0.102941	-0.0463453
129.54	-1.32	-1.53	0.0245098	-0.125649
130.56	-1.24	-1.61	0.142157	-0.00887516
131.58	-1.03	-1.54	0.230392	0.0784874
132.60	-0.77	-1.44	0.132353	-0.0204246
133.62	-0.76	-1.58	0.00490196	-0.148748
134.64	-0.76	-1.74	0.0245098	-0.130013
135.66	-0.71	-1.84	0.0441176	-0.111278
136.68	-0.67	-1.96	0.0392157	-0.117053
137.70	-0.63	-2.08	0.161765	0.00462327
138.72	-0.34	-1.94	0.22549	0.067476
139.74	-0.17	-1.93	0.0931373	-0.0657497
140.76	-0.15	-2.07	0.0441176	-0.115642
141.78	-0.08	-2.16	0.132353	-0.0282796
142.80	0.12	-2.12	0.254902	0.0933967
143.82	0.44	-1.97	0.235294	0.072916
144.84	0.60	-1.97	-0.22549	-0.388741
145.86	-0.02	-2.76	-0.0147059	-0.178829
146.88	0.57	-2.33	0.544118	0.379121
147.90	1.09	-1.99	0.323529	0.15766
148.92	1.23	-2.02	0.122549	-0.0441929
149.94	1.34	-2.08	0.22549	0.0578755
150.96	1.69	-1.90	0.245098	0.0766106
151.98	1.84	-1.92	0.186275	0.0169143
153.00	2.07	-1.87	0.333333	0.1631
154.02	2.52	-1.59	0.411765	0.240659
155.04	2.91	-1.38	0.328431	0.156453
156.06	3.19	-1.28	0.25	0.0771487
157.08	3.42	-1.22	0.22549	0.0517661
158.10	3.65	-1.17	0.259804	0.085207
159.12	3.95	-1.05	0.210784	0.0353147
160.14	4.08	-1.11	-0.0294118	-0.205754
161.16	3.89	-1.49	-0.166667	-0.343882
162.18	3.74	-1.82	0.0882353	-0.0898527
163.20	4.07	-1.67	0.416667	0.237706
164.22	4.59	-1.34	0.372549	0.192715
165.24	4.83	-1.29	0.181373	0.000666249
166.26	4.96	-1.35	0.29902	0.117441
167.28	5.44	-1.06	0.490196	0.307744
168.30	5.96	-0.74	0.460784	0.27746
169.32	6.38	-0.50	0.421569	0.237371
170.34	6.82	-0.26	0.387255	0.202185
171.36	7.17	-0.10	0.161765	-0.0241782
172.38	7.15	-0.32	0.0539216	-0.132894
173.40	7.28	-0.39	0.156863	-0.0308257
174.42	7.47	-0.40	0.147059	-0.0415024
175.44	7.58	-0.49	0.20098	0.0115464
176.46	7.88	-0.39	0.495098	0.304791
177.48	8.59	0.12	0.593137	0.401958
178.50	9.09	0.41	0.328431	0.136379
179.52	9.26	0.38	0.132353	-0.0605722
180.54	9.36	0.27	0.137255	-0.056543
181.56	9.54	0.24	0.25	0.0553293
182.58	9.87	0.37	0.343137	0.147594
183.60	10.24	0.53	0.416667	0.22025
184.62	10.72	0.80	0.460784	0.263495
185.64	11.18	1.04	0.539216	0.341054
186.66	11.82	1.47	0.529412	0.330377
187.68	12.26	1.70	0.470588	0.270681
188.70	12.78	2.00	0.426471	0.225691
189.72	13.13	2.14	0.411765	0.210112
190.74	13.62	2.41	0.470588	0.268063
191.76	14.09	2.66	0.338235	0.134837
192.78	14.31	2.66	0.122549	-0.0817221
193.80	14.34	2.47	0.161765	-0.0433792
194.82	14.64	2.55	0.235294	0.0292774
195.84	14.82	2.50	0.161765	-0.0451248
196.86	14.97	2.43	0.186275	-0.0214877
197.88	15.20	2.43	0.22549	0.0168552
198.90	15.43	2.43	0.20098	-0.00852741
199.92	15.61	2.39	0.20098	-0.00940018
200.94	15.84	2.39	0.338235	0.126982
201.96	16.30	2.61	0.357843	0.145717
202.98	16.57	2.65	0.259804	0.046805
204.00	16.83	2.68	0.27451	0.0606381
205.02	17.13	2.74	0.240196	0.0254516
206.04	17.32	2.70	0.186275	-0.0293427
207.06	17.51	2.65	0.235294	0.0188041
208.08	17.80	2.71	0.367647	0.150284
209.10	18.26	2.93	0.470588	0.252353
210.12	18.76	3.19	0.397059	0.177951
211.14	19.07	3.25	0.5	0.280019
212.16	19.78	3.72	0.588235	0.367381
213.18	20.27	3.97	0.387255	0.165528
214.20	20.57	4.03	0.372549	0.14995
215.22	21.03	4.24	0.446078	0.222606
216.24	21.48	4.45	0.436275	0.21193
217.26	21.92	4.64	0.465686	0.240469
218.28	22.43	4.90	0.343137	0.117047
219.30	22.62	4.84	0.132353	-0.0946103
220.32	22.70	4.67	0.0588235	-0.169013
221.34	22.74	4.45	0.0392157	-0.189493
