Dim : 220 X 20 X 40 mm3
Scan lenght : 200 mm
p=499.14 mm q= 4500 mm teta = 34.99 mrad
x(mm)	Slope(urad)	Slope-BestEllipse(urad)
-3.5	25.2379	-0.06382
-3.25	34.48211	-0.64045
-3	43.76225	-1.17455
-2.75	53.27393	-1.47053
-2.5	62.94152	-1.604
-2.25	72.65433	-1.68567
-2	82.43269	-1.69523
-1.75	92.32571	-1.58356
-1.5	102.36664	-1.31743
-1.25	112.56021	-0.8921
-1	122.81306	-0.40097
-0.75	133.00727	0.03806
-0.5	143.02501	0.30713
-0.25	152.80201	0.34197
0	162.48833	0.29264
0.25	172.23046	0.30562
0.5	181.94638	0.29888
0.75	191.55356	0.18988
1	201.19607	0.12268
1.25	211.01037	0.23374
1.5	220.87622	0.4028
1.75	230.64563	0.48187
2	240.31656	0.4689
2.25	249.91892	0.39379
2.5	259.46454	0.26838
2.75	268.97092	0.11014
3	278.49626	-0.02274
3.25	288.09199	-0.07882
3.5	297.74179	-0.07444
3.75	307.40062	-0.05464
4	316.97643	-0.11148
4.25	326.39711	-0.31709
4.5	335.71723	-0.61689
4.75	345.01689	-0.93081
5	354.35141	-1.2035
5.25	363.7623	-1.3935
5.5	373.26031	-1.49005
5.75	382.85451	-1.48407
6	392.57795	-1.34254
6.25	402.44936	-1.04674
6.5	412.40617	-0.65924
6.75	422.3667	-0.26172
7	432.25418	0.06903
7.25	442.00954	0.27393
7.5	451.63968	0.3599
7.75	461.17028	0.35257
8	470.63603	0.28665
8.25	480.06759	0.19279
8.5	489.47034	0.07637
8.75	498.85119	-0.05573
9	508.24832	-0.16533
9.25	517.69161	-0.22255
9.5	527.1465	-0.26196
9.75	536.57045	-0.32612
10	545.95342	-0.42505
10.25	555.31569	-0.5385
10.5	564.76627	-0.55746
10.75	574.38895	-0.39815
11	584.07812	-0.16619
11.25	593.72446	0.0291
11.5	603.39327	0.25301
11.75	613.14772	0.5687
12	622.86775	0.8561
12.25	632.42168	0.98352
12.5	641.81455	0.95602
12.75	651.08364	0.81083
13	660.25825	0.57728
13.25	669.36798	0.28494
13.5	678.45141	-0.02761
13.75	687.54611	-0.32281
14	696.67648	-0.57627
14.25	705.86115	-0.76935
14.5	715.10877	-0.89342
14.75	724.40951	-0.95832
15	733.68971	-1.03772
15.25	742.8952	-1.18579
15.5	752.11359	-1.31492
15.75	761.43694	-1.33308
16	770.83308	-1.27243
16.25	780.25909	-1.17589
16.5	789.75325	-1.0052
16.75	799.34839	-0.72754
17	808.97456	-0.41287
17.25	818.56071	-0.13223
17.5	828.13427	0.1418
17.75	837.71782	0.43177
18	847.21608	0.64243
18.25	856.54256	0.68724
18.5	865.76368	0.63265
18.75	874.96423	0.56343
19	884.14949	0.48485
19.25	893.31337	0.3908
19.5	902.48368	0.30911
19.75	911.69079	0.27013
20	920.94125	0.28039
20.25	930.2123	0.31715
20.5	939.3878	0.26424
20.75	948.38105	0.03497
21	957.31651	-0.24622
21.25	966.3421	-0.43141
21.5	975.48833	-0.4901
21.75	984.74835	-0.42916
22	994.08311	-0.28761
22.25	1003.44742	-0.11068
22.5	1012.80354	0.06389
22.75	1022.11728	0.20191
23	1031.36117	0.27589
23.25	1040.49433	0.24496
23.5	1049.41564	0.00799
23.75	1058.0896	-0.47054
24	1066.80349	-0.90334
24.25	1075.8292	-1.01854
24.5	1085.05427	-0.9286
24.75	1094.29913	-0.8131
25	1103.50001	-0.73582
25.25	1112.64126	-0.7124
25.5	1121.78376	-0.68199
25.75	1130.96459	-0.60751
26	1140.04901	-0.62369
26.25	1148.92774	-0.83983
26.5	1157.76506	-1.09166
26.75	1166.73917	-1.20099
27	1175.81029	-1.20759
27.25	1184.91562	-1.17427
27.5	1194.11819	-1.03803
27.75	1203.47356	-0.74329
28	1212.8818	-0.39
28.25	1222.21411	-0.10696
28.5	1231.38193	0.01726
28.75	1240.36063	-0.04197
29	1249.34118	-0.0937
29.25	1258.49577	0.03426
29.5	1267.70599	0.2235
29.75	1276.8413	0.34345
30	1286.01322	0.50566
30.25	1295.32722	0.81556
30.5	1304.62236	1.11223
30.75	1313.7226	1.21961
31	1322.65777	1.16752
31.25	1331.49779	1.02588
31.5	1340.2669	0.81892
31.75	1348.97411	0.55564
32	1357.61302	0.22965
32.25	1366.1952	-0.14751
32.5	1374.81939	-0.47708
32.75	1383.57585	-0.66883
33	1392.43365	-0.75369
33.25	1401.33569	-0.78876
33.5	1410.24137	-0.81465
33.75	1419.11745	-0.86461
34	1427.94357	-0.959
34.25	1436.72694	-1.09062
34.5	1445.57206	-1.15497
34.75	1454.58009	-1.05092
35	1463.7415	-0.78798
35.25	1473.01317	-0.40927
35.5	1482.32824	0.01831
35.75	1491.6244	0.43247
36	1500.88139	0.81293
36.25	1510.07273	1.13322
36.5	1519.10507	1.29997
36.75	1527.91066	1.24542
37	1536.59102	1.07109
37.25	1545.26947	0.90031
37.5	1553.9872	0.77423
37.75	1562.741	0.68967
38	1571.43234	0.54805
38.25	1579.9917	0.27989
38.5	1588.5612	0.02728
38.75	1597.25783	-0.09279
39	1605.88659	-0.27534
39.25	1614.27025	-0.69759
39.5	1622.61469	-1.15367
39.75	1631.15413	-1.40937
40	1639.85288	-1.50039
40.25	1648.63588	-1.50178
40.5	1657.54053	-1.37615
40.75	1666.60982	-1.08054
41	1675.79655	-0.66212
41.25	1685.02073	-0.20092
41.5	1694.16125	0.18197
41.75	1703.1206	0.38901
42	1711.93661	0.45805
42.25	1720.6824	0.46218
42.5	1729.43663	0.48007
42.75	1738.25933	0.57174
43	1747.13043	0.71711
43.25	1756.01214	0.87839
43.5	1764.87601	1.02712
43.75	1773.69365	1.1349
44	1782.42773	1.1644
44.25	1791.04548	1.08285
44.5	1799.54137	0.8847
44.75	1807.94932	0.60388
45	1816.43404	0.40508
45.25	1825.12409	0.41685
45.5	1833.87275	0.49248
45.75	1842.52438	0.47631
46	1851.16284	0.45221
46.25	1859.88779	0.51982
46.5	1868.62258	0.60249
46.75	1877.27269	0.6057
47	1885.84848	0.53979
47.25	1894.37773	0.43253
47.5	1902.85313	0.27664
47.75	1911.2737	0.07109
48	1919.69868	-0.12486
48.25	1928.19315	-0.24613
48.5	1936.78518	-0.26468
48.75	1945.47674	-0.17854
49	1954.20239	-0.05314
49.25	1962.89362	0.04299
49.5	1971.53677	0.09619
49.75	1980.12824	0.10286
50	1988.64962	0.04457
50.25	1997.10364	-0.07596
50.5	2005.5923	-0.15671
50.75	2014.2098	-0.10349
51	2022.9198	0.04733
51.25	2031.6648	0.23825
51.5	2040.43323	0.45772
51.75	2049.22002	0.70064
52	2058.0001	0.94194
52.25	2066.72792	1.13607
52.5	2075.29608	1.17561
52.75	2083.62362	0.97961
53	2091.79736	0.63488
53.25	2099.93231	0.25642
53.5	2108.08848	-0.09576
53.75	2116.31736	-0.37017
54	2124.69149	-0.4943
54.25	2133.24964	-0.42937
54.5	2141.87457	-0.29261
54.75	2150.43396	-0.21637
55	2158.891	-0.23747
55.25	2167.25916	-0.34241
55.5	2175.65758	-0.41209
55.75	2184.18192	-0.35084
56	2192.72849	-0.26236
56.25	2201.18531	-0.25863
56.5	2209.60672	-0.28533
56.75	2218.0783	-0.25687
57	2226.64425	-0.12906
57.25	2235.29366	0.08718
57.5	2243.83655	0.20187
57.75	2252.10947	0.05155
58	2260.23413	-0.24208
58.25	2268.37977	-0.50976
58.5	2276.6206	-0.67732
58.75	2284.98225	-0.71911
59	2293.39123	-0.70865
59.25	2301.7866	-0.70686
59.5	2310.25682	-0.62529
59.75	2318.88607	-0.37978
60	2327.59204	-0.05264
60.25	2336.25582	0.23723
60.5	2344.77861	0.391
60.75	2353.10585	0.35413
61	2361.33992	0.22897
61.25	2369.61317	0.14787
61.5	2378.02098	0.20622
61.75	2386.61007	0.45073
62	2395.26949	0.77042
62.25	2403.85612	1.0222
62.5	2412.25603	1.09212
62.75	2420.41359	0.92454
63	2428.47728	0.66794
63.25	2436.59493	0.47014
63.5	2444.70762	0.27222
63.75	2452.74216	9.78322E-4
64	2460.77499	-0.26714
64.25	2468.90608	-0.43218
64.5	2477.17981	-0.44977
64.75	2485.60804	-0.30804
65	2494.12811	-0.06967
65.25	2502.65428	0.17961
65.5	2511.08295	0.33618
65.75	2519.33731	0.32323
66	2527.4655	0.1889
66.25	2535.54781	0.01347
66.5	2543.66808	-0.11924
66.75	2551.8838	-0.15172
67	2560.14364	-0.13532
67.25	2568.40072	-0.11692
67.5	2576.73489	-0.01668
67.75	2585.21316	0.23242
68	2593.72454	0.51937
68.25	2602.12507	0.70021
68.5	2610.31702	0.67719
68.75	2618.26628	0.41622
69	2626.147	0.09142
69.25	2634.14226	-0.11411
69.5	2642.26262	-0.18984
69.75	2650.46606	-0.17777
70	2658.67274	-0.15775
70.25	2666.82199	-0.19049
70.5	2674.96743	-0.22232
70.75	2683.15594	-0.20642
71	2691.29284	-0.23743
71.25	2699.3057	-0.38781
71.5	2707.35248	-0.49959
71.75	2715.5823	-0.42368
72	2723.8784	-0.27681
72.25	2732.09673	-0.20306
72.5	2740.24973	-0.18999
72.75	2748.37923	-0.19578
73	2756.48792	-0.21773
73.25	2764.56796	-0.26369
73.5	2772.60844	-0.34459
73.75	2780.59854	-0.47124
74	2788.53089	-0.65101
74.25	2796.41777	-0.87164
74.5	2804.34647	-1.04584
74.75	2812.39371	-1.09689
75	2820.51899	-1.06531
75.25	2828.67385	-0.99954
75.5	2836.8953	-0.86259
75.75	2845.20245	-0.63535
76	2853.45747	-0.45567
76.25	2861.54137	-0.44253
76.5	2869.56764	-0.48245
76.75	2877.67003	-0.44168
77	2885.83092	-0.33784
77.25	2894.00471	-0.21655
77.5	2902.18528	-0.08393
77.75	2910.37525	0.06264
78	2918.57285	0.22139
78.25	2926.77077	0.38498
78.5	2934.9438	0.52823
78.75	2943.0559	0.61507
79	2951.04546	0.5839
79.25	2958.8666	0.38882
79.5	2966.56187	0.07239
79.75	2974.20884	-0.28784
80	2981.9366	-0.56276
